h,m,s,voltage (V)
10,48,48.327,2.5158461
10,48,50.764,2.5162997
10,48,53.192,2.5167514
10,48,55.627,2.5171941
10,48,58.067,2.5176358
10,49,0.504,2.5180721
10,49,2.94,2.5185041
10,49,5.376,2.5189297
10,49,7.812,2.5193541
10,49,10.26,2.5197753
10,49,12.703,2.5201912
10,49,15.141,2.5205984
10,49,17.574,2.5210035
10,49,20.021,2.5214074
10,49,22.447,2.521806
10,49,24.883,2.5222003
10,49,27.323,2.5225903
10,49,29.771,2.5229771
10,49,32.208,2.5233606
10,49,34.644,2.523743
10,49,37.079,2.5241158
10,49,39.508,2.5244874
10,49,41.953,2.5248591
10,49,44.38,2.5252264
10,49,46.829,2.5255884
10,49,49.267,2.5259482
10,49,51.706,2.5263037
10,49,54.144,2.5266592
10,49,56.587,2.5270104
10,49,59.027,2.5273563
10,50,1.457,2.5277021
10,50,3.883,2.5280382
10,50,6.317,2.5283765
10,50,8.748,2.653359
10,50,11.186,2.7052858
10,50,13.629,2.7431154
10,50,16.062,2.7738086
10,50,18.5,2.7992037
10,50,20.933,2.8209219
10,50,23.371,2.8398588
10,50,25.816,2.8569846
10,50,28.26,2.8726528
10,50,30.713,2.8871801
10,50,33.15,2.9006915
10,50,35.591,2.9133304
10,50,38.026,2.9252657
10,50,40.46,2.9365659
10,50,42.9,2.9472903
10,50,45.343,2.9574643
10,50,47.786,2.9672203
10,50,50.226,2.976512
10,50,52.666,2.9854363
10,50,55.096,2.9939771
10,50,57.542,3.0021882
10,50,59.982,3.0101139
10,51,2.424,3.017754
10,51,4.864,3.0251389
10,51,7.312,3.0322964
10,51,9.746,3.0392095
10,51,12.214,3.045973
10,51,14.655,3.0524788
10,51,17.088,3.0587917
10,51,19.526,3.0649291
10,51,21.964,3.0709027
10,51,24.405,3.0767255
10,51,26.844,3.0824114
10,51,29.284,3.0879412
10,51,31.718,3.0933428
10,51,34.158,3.0986237
10,51,36.595,3.1037839
10,51,39.029,3.1088278
10,51,41.467,3.1137403
10,51,43.911,3.1185805
10,51,46.353,3.1233271
10,51,48.79,3.1279422
10,51,51.223,3.1324712
10,51,53.649,3.1368827
10,51,56.087,3.1412274
10,51,58.526,3.1455118
10,52,0.968,3.1496941
10,52,3.403,3.1538137
10,52,5.851,3.1578535
10,52,8.284,3.1618094
10,52,10.723,3.1657006
10,52,13.156,3.1695282
10,52,15.597,3.1732783
10,52,18.034,3.176968
10,52,20.472,3.1805963
10,52,22.91,3.1841708
10,52,25.353,3.1876903
10,52,27.793,3.1911463
10,52,30.224,3.1945484
10,52,32.663,3.1978955
10,52,35.101,3.2011802
10,52,37.53,3.2044153
10,52,39.971,3.2075998
10,52,42.42,3.2107584
10,52,44.857,3.2138503
10,52,47.296,3.216899
10,52,49.734,3.2198939
10,52,52.162,3.2228651
10,52,54.626,3.2257899
10,52,57.056,3.2286652
10,52,59.504,3.2314964
10,53,1.937,3.2342779
10,53,4.377,3.2370218
10,53,6.815,3.2397334
10,53,9.259,3.2424029
10,53,11.699,3.2450336
10,53,14.129,3.2476202
10,53,16.576,3.2501723
10,53,19.014,3.2526882
10,53,21.452,3.2551585
10,53,23.897,3.2576147
10,53,26.335,3.2600063
10,53,28.767,3.2623742
10,53,31.196,3.2646925
10,53,33.632,3.266971
10,53,36.071,3.2692355
10,53,38.506,3.2714396
10,53,40.936,3.2736136
10,53,43.379,3.2757542
10,53,45.817,3.2778517
10,53,48.256,3.2799158
10,53,50.706,3.2819379
10,53,53.154,3.2839212
10,53,55.597,3.285842
10,53,58.044,3.2877154
10,54,0.489,3.2895306
10,54,2.924,3.291278
10,54,5.362,3.2929489
10,54,7.804,3.294553
10,54,10.236,3.2960569
10,54,12.675,3.297452
10,54,15.117,3.2987447
10,54,17.558,3.2999158
10,54,19.982,3.3009586
10,54,22.418,3.3018872
10,54,24.857,3.3027006
10,54,27.298,3.3034181
10,54,29.723,3.3040429
10,54,32.16,3.304588
10,54,34.599,3.3050588
10,54,37.042,3.3054811
10,54,39.485,3.3058484
10,54,41.935,3.3061835
10,54,44.374,3.3064743
10,54,46.813,3.3067491
10,54,49.257,3.3069839
10,54,51.715,3.3072144
10,54,54.154,3.3074288
10,54,56.593,3.307626
10,54,59.046,3.3078113
10,55,1.482,3.3079922
10,55,3.921,3.308156
10,55,6.359,3.3083251
10,55,8.798,3.3084803
10,55,11.242,3.3086343
10,55,13.682,3.3087819
10,55,16.114,3.3089317
10,55,18.561,3.3090846
10,55,20.99,3.3092268
10,55,23.42,3.3093755
10,55,25.862,3.3095231
10,55,28.312,3.3096642
10,55,30.746,3.3098096
10,55,33.184,3.309968
10,55,35.631,3.3100973
10,55,38.062,3.310246
10,55,40.503,3.3104
10,55,42.944,3.310553
10,55,45.395,3.3107038
10,55,47.833,3.3108546
10,55,50.273,3.3110087
10,55,52.712,3.3111681
10,55,55.155,3.3113308
10,55,57.596,3.3114881
10,56,0.033,3.3116497
10,56,2.479,3.3118123
10,56,4.909,3.3119761
10,56,7.348,3.3121495
10,56,9.79,3.3123176
10,56,12.241,3.3124921
10,56,14.688,3.3126634
10,56,17.119,3.3128422
10,56,19.568,3.3130168
10,56,22.021,3.3132031
10,56,24.451,3.3133873
10,56,26.891,3.3135726
10,56,29.331,3.3137622
10,56,31.769,3.3139562
10,56,34.196,3.3141511
10,56,36.634,3.3143494
10,56,39.072,3.3145508
10,56,41.513,3.3147523
10,56,43.962,3.3149483
10,56,46.402,3.3151638
10,56,48.839,3.3153836
10,56,51.272,3.3155936
10,56,53.707,3.3158145
10,56,56.137,3.3160375
10,56,58.562,3.3162616
10,57,1,3.3164878
10,57,3.439,3.3167205
