h,m,s,voltage
9.0000,41.0000,3.3840,3.6072
9.0000,41.0000,5.8230,3.6072
9.0000,41.0000,8.2630,3.6073
9.0000,41.0000,10.7040,3.6019
9.0000,41.0000,13.1420,3.5980
9.0000,41.0000,15.5920,3.5945
9.0000,41.0000,18.0320,3.5912
9.0000,41.0000,20.4780,3.5881
9.0000,41.0000,22.9300,3.4978
9.0000,41.0000,25.3670,3.4050
9.0000,41.0000,27.8060,3.3601
9.0000,41.0000,30.2430,3.3320
9.0000,41.0000,32.6810,3.3125
9.0000,41.0000,35.1220,3.2984
9.0000,41.0000,37.5610,3.2881
9.0000,41.0000,40.0000,3.2805
9.0000,41.0000,42.4350,3.2748
9.0000,41.0000,44.8690,3.2705
9.0000,41.0000,47.3060,3.2673
9.0000,41.0000,49.7480,3.2650
9.0000,41.0000,52.1870,3.2633
9.0000,41.0000,54.6280,3.2620
9.0000,41.0000,57.0640,3.2611
9.0000,41.0000,59.5160,3.2605
9.0000,42.0000,1.9510,3.2599
9.0000,42.0000,4.3970,3.2595
9.0000,42.0000,6.8360,3.2592
9.0000,42.0000,9.2840,3.2590
9.0000,42.0000,11.7320,3.2587
9.0000,42.0000,14.1760,3.2586
9.0000,42.0000,16.6340,3.2584
9.0000,42.0000,19.0700,3.2583
9.0000,42.0000,21.5080,3.2581
9.0000,42.0000,23.9440,3.2580
9.0000,42.0000,26.3840,3.2579
9.0000,42.0000,28.8120,3.2578
9.0000,42.0000,31.2480,3.2577
9.0000,42.0000,33.6790,3.2576
9.0000,42.0000,36.1270,3.2575
9.0000,42.0000,38.5680,3.2575
9.0000,42.0000,41.0130,3.2574
9.0000,42.0000,43.4520,3.2573
9.0000,42.0000,45.8830,3.2572
9.0000,42.0000,48.3120,3.2572
9.0000,42.0000,50.7540,3.2571
9.0000,42.0000,53.1930,3.2570
9.0000,42.0000,55.6410,3.2570
9.0000,42.0000,58.0810,3.2569
9.0000,43.0000,0.5160,3.2568
9.0000,43.0000,2.9530,3.2568
9.0000,43.0000,5.3920,3.2567
9.0000,43.0000,7.8210,3.2567
9.0000,43.0000,10.2740,3.2566
9.0000,43.0000,12.7270,3.2565
9.0000,43.0000,15.1710,3.2565
9.0000,43.0000,17.6060,3.2564
9.0000,43.0000,20.0310,3.2564
9.0000,43.0000,22.4710,3.2563
9.0000,43.0000,24.9230,3.2563
9.0000,43.0000,27.3620,3.2562
9.0000,43.0000,29.8090,3.2562
9.0000,43.0000,32.2500,3.2561
9.0000,43.0000,34.6870,3.2560
9.0000,43.0000,37.1360,3.2560
9.0000,43.0000,39.5690,3.2559
9.0000,43.0000,42.0210,3.2559
9.0000,43.0000,44.4680,3.2558
9.0000,43.0000,46.9000,3.2558
9.0000,43.0000,49.3300,3.2557
9.0000,43.0000,51.7690,3.2557
9.0000,43.0000,54.2040,3.2557
9.0000,43.0000,56.6470,3.2556
9.0000,43.0000,59.0850,3.2556
9.0000,44.0000,1.5260,3.2555
9.0000,44.0000,3.9560,3.2555
9.0000,44.0000,6.3940,3.2554
9.0000,44.0000,8.8290,3.2554
9.0000,44.0000,11.2630,3.2553
9.0000,44.0000,13.7000,3.2553
9.0000,44.0000,16.1340,3.2552
9.0000,44.0000,18.5700,3.2552
9.0000,44.0000,21.0010,3.2552
9.0000,44.0000,23.4340,3.2551
9.0000,44.0000,25.8740,3.2551
9.0000,44.0000,28.3140,3.2550
9.0000,44.0000,30.7480,3.2550
9.0000,44.0000,33.1900,3.2549
9.0000,44.0000,35.6320,3.2549
9.0000,44.0000,38.0870,3.2549
9.0000,44.0000,40.5190,3.2548
9.0000,44.0000,42.9520,3.2548
9.0000,44.0000,45.3910,3.2547
9.0000,44.0000,47.8370,3.2547
9.0000,44.0000,50.2690,3.2547
9.0000,44.0000,52.7080,3.2546
9.0000,44.0000,55.1640,3.2546
9.0000,44.0000,57.6020,3.2545
9.0000,45.0000,0.0330,3.2545
9.0000,45.0000,2.4780,3.2545
9.0000,45.0000,4.9080,3.2544
9.0000,45.0000,7.3530,3.2544
9.0000,45.0000,9.7850,3.2543
9.0000,45.0000,12.2170,3.2543
9.0000,45.0000,14.6580,3.2543
9.0000,45.0000,17.1010,3.2542
9.0000,45.0000,19.5430,3.2542
9.0000,45.0000,21.9870,3.2541
9.0000,45.0000,24.4210,3.2541
9.0000,45.0000,26.8550,3.2541
9.0000,45.0000,29.2840,3.2540
9.0000,45.0000,31.7220,3.2540
9.0000,45.0000,34.1630,3.2540
9.0000,45.0000,36.6060,3.2539
9.0000,45.0000,39.0380,3.2539
9.0000,45.0000,41.4700,3.2539
9.0000,45.0000,43.9020,3.2538
9.0000,45.0000,46.3330,3.2538
9.0000,45.0000,48.7740,3.2537
9.0000,45.0000,51.2080,3.2537
9.0000,45.0000,53.6470,3.2537
9.0000,45.0000,56.0800,3.2536
9.0000,45.0000,58.5110,3.2536
9.0000,46.0000,0.9430,3.2536
9.0000,46.0000,3.3860,3.2535
9.0000,46.0000,5.8180,3.2535
9.0000,46.0000,8.2610,3.2535
9.0000,46.0000,10.6940,3.2534
9.0000,46.0000,13.1450,3.2534
9.0000,46.0000,15.5840,3.2533
9.0000,46.0000,18.0270,3.2533
9.0000,46.0000,20.4790,3.2533
9.0000,46.0000,22.9220,3.2532
9.0000,46.0000,25.3720,3.2532
9.0000,46.0000,27.8100,3.2532
9.0000,46.0000,30.2450,3.2531
9.0000,46.0000,32.6770,3.2531
9.0000,46.0000,35.1110,3.2531
9.0000,46.0000,37.5540,3.2530
9.0000,46.0000,39.9850,3.2530
9.0000,46.0000,42.4180,3.2529
9.0000,46.0000,44.8490,3.2529
9.0000,46.0000,47.3020,3.2529
9.0000,46.0000,49.7550,3.2528
9.0000,46.0000,52.1960,3.2528
9.0000,46.0000,54.6310,3.2528
9.0000,46.0000,57.0730,3.2527
9.0000,46.0000,59.5060,3.2527
9.0000,47.0000,1.9470,3.2527
9.0000,47.0000,4.3880,3.2526
9.0000,47.0000,6.8290,3.2526
9.0000,47.0000,9.2530,3.2526
9.0000,47.0000,11.6860,3.2525
9.0000,47.0000,14.1250,3.2525
9.0000,47.0000,16.5550,3.2525
9.0000,47.0000,18.9940,3.2524
9.0000,47.0000,21.4320,3.2524
9.0000,47.0000,23.8710,3.2523
9.0000,47.0000,26.3070,3.2523
9.0000,47.0000,28.7480,3.2523
9.0000,47.0000,31.1930,3.2522
9.0000,47.0000,33.6310,3.2522
9.0000,47.0000,36.0610,3.2522
9.0000,47.0000,38.5040,3.2521
9.0000,47.0000,40.9430,3.2521
9.0000,47.0000,43.3820,3.2521
9.0000,47.0000,45.8250,3.2520
9.0000,47.0000,48.2500,3.2520
9.0000,47.0000,50.6900,3.2520
9.0000,47.0000,53.1320,3.2519
9.0000,47.0000,55.5640,3.2519
9.0000,47.0000,57.9980,3.2518
9.0000,48.0000,0.4360,3.2518
9.0000,48.0000,2.8780,3.2518
