h,m,s,voltage
8.00,38.00,15.85500,3.6070913
8.00,38.00,18.29700,3.6037301
8.00,38.00,20.72900,3.6006125
8.00,38.00,23.16400,3.5978901
8.00,38.00,25.60200,3.5954167
8.00,38.00,28.03900,3.5931328
8.00,38.00,30.47900,3.5909879
8.00,38.00,32.92000,3.5889626
8.00,38.00,35.36800,3.5870385
8.00,38.00,37.81600,3.5441779
8.00,38.00,40.25200,3.4653414
8.00,38.00,42.68600,3.4205839
8.00,38.00,45.12600,3.3901126
8.00,38.00,47.56300,3.3677652
8.00,38.00,50.00400,3.3504194
8.00,38.00,52.45200,3.3364134
8.00,38.00,54.88800,3.3249403
8.00,38.00,57.34100,3.3154374
8.00,38.00,59.78200,3.3075236
8.00,39.00,2.22400,3.3009058
8.00,39.00,4.67300,3.2953254
8.00,39.00,7.11400,3.2906543
8.00,39.00,9.55100,3.2867124
8.00,39.00,11.99000,3.2833804
8.00,39.00,14.43200,3.2805675
8.00,39.00,16.87000,3.2781867
8.00,39.00,19.30800,3.2762088
8.00,39.00,21.74800,3.2745487
8.00,39.00,24.17700,3.273173
8.00,39.00,26.62700,3.2720397
8.00,39.00,29.06300,3.2711035
8.00,39.00,31.50400,3.2703462
8.00,39.00,33.94500,3.2697116
8.00,39.00,36.37700,3.2691913
8.00,39.00,38.81000,3.2687722
8.00,39.00,41.24800,3.2684114
8.00,39.00,43.68500,3.2681194
8.00,39.00,46.11600,3.2678716
8.00,39.00,48.55700,3.2676734
8.00,39.00,50.98900,3.2675
8.00,39.00,53.43900,3.2673513
8.00,39.00,55.87200,3.2672274
8.00,39.00,58.30200,3.2671272
8.00,40.00,0.73300,3.2670346
8.00,40.00,3.17200,3.2669538
8.00,40.00,5.61100,3.2668827
8.00,40.00,8.05300,3.2668288
8.00,40.00,10.48200,3.2667771
8.00,40.00,12.92600,3.2667351
8.00,40.00,15.35600,3.2666855
8.00,40.00,17.78600,3.2666607
8.00,40.00,20.22500,3.2666252
8.00,40.00,22.66300,3.2666015
8.00,40.00,25.10200,3.2665756
8.00,40.00,27.54200,3.2665487
8.00,40.00,29.97900,3.2665239
8.00,40.00,32.41700,3.2665035
8.00,40.00,34.85100,3.266483
8.00,40.00,37.29200,3.2664701
8.00,40.00,39.73800,3.2664571
8.00,40.00,42.20100,3.2664421
8.00,40.00,44.63400,3.2664237
8.00,40.00,47.07500,3.2664087
8.00,40.00,49.50500,3.2663936
8.00,40.00,51.95200,3.2663806
8.00,40.00,54.38600,3.2663699
8.00,40.00,56.82500,3.266358
8.00,40.00,59.27100,3.2663462
8.00,41.00,1.71700,3.2663354
8.00,41.00,4.15700,3.2663225
8.00,41.00,6.59100,3.2663074
8.00,41.00,9.04300,3.2662912
8.00,41.00,11.47900,3.2662912
8.00,41.00,13.92700,3.2662772
8.00,41.00,16.36600,3.2662643
8.00,41.00,18.80500,3.2662589
8.00,41.00,21.24400,3.2662438
8.00,41.00,23.68400,3.2662352
8.00,41.00,26.11800,3.2662223
8.00,41.00,28.54700,3.2662169
8.00,41.00,30.98400,3.2662094
8.00,41.00,33.42400,3.2661986
8.00,41.00,35.86000,3.2661835
8.00,41.00,38.29800,3.2661738
8.00,41.00,40.72900,3.2661673
8.00,41.00,43.16500,3.2661598
8.00,41.00,45.61400,3.2661512
8.00,41.00,48.06600,3.2661372
8.00,41.00,50.50900,3.2661264
8.00,41.00,52.94900,3.2661275
8.00,41.00,55.38300,3.2661092
8.00,41.00,57.82500,3.2661049
8.00,42.00,0.27000,3.2660919
8.00,42.00,2.70600,3.2660812
8.00,42.00,5.13600,3.2660704
8.00,42.00,7.58400,3.2660618
8.00,42.00,10.01300,3.2660628
8.00,42.00,12.45600,3.2660488
8.00,42.00,14.88800,3.266037
8.00,42.00,17.32700,3.2660273
8.00,42.00,19.76600,3.2660176
8.00,42.00,22.20500,3.2660068
8.00,42.00,24.63500,3.2660036
8.00,42.00,27.06700,3.2659928
8.00,42.00,29.50800,3.2659874
8.00,42.00,31.94700,3.2659734
8.00,42.00,34.39400,3.265968
8.00,42.00,36.82600,3.2659519
8.00,42.00,39.28000,3.2659487
8.00,42.00,41.72100,3.2659357
8.00,42.00,44.14600,3.2659314
8.00,42.00,46.59700,3.2659206
8.00,42.00,49.04100,3.2659088
8.00,42.00,51.48200,3.2659023
8.00,42.00,53.91200,3.2658937
8.00,42.00,56.35100,3.2658872
8.00,42.00,58.78600,3.2658765
8.00,43.00,1.21600,3.2658689
8.00,43.00,3.66000,3.2658571
8.00,43.00,6.10000,3.2658506
8.00,43.00,8.54700,3.2658409
8.00,43.00,10.97600,3.2658366
8.00,43.00,13.41600,3.2658237
8.00,43.00,15.86500,3.2658194
8.00,43.00,18.30400,3.2658065
8.00,43.00,20.72800,3.2657924
8.00,43.00,23.16500,3.2657935
8.00,43.00,25.60600,3.2657784
8.00,43.00,28.03700,3.2657806
8.00,43.00,30.47300,3.2657677
8.00,43.00,32.92000,3.2657623
8.00,43.00,35.35900,3.2657504
8.00,43.00,37.79900,3.2657321
8.00,43.00,40.23900,3.2657289
8.00,43.00,42.67600,3.2657278
8.00,43.00,45.11000,3.2657138
8.00,43.00,47.55500,3.2657149
8.00,43.00,49.99300,3.2656933
8.00,43.00,52.42500,3.2656858
8.00,43.00,54.86400,3.2656783
8.00,43.00,57.29600,3.2656675
8.00,43.00,59.74300,3.2656621
8.00,44.00,2.17700,3.2656556
8.00,44.00,4.61700,3.2656459
8.00,44.00,7.05400,3.2656405
8.00,44.00,9.49700,3.2656298
8.00,44.00,11.93900,3.2656212
8.00,44.00,14.38000,3.2656125
8.00,44.00,16.83000,3.2656072
8.00,44.00,19.26300,3.2656028
8.00,44.00,21.70200,3.2655921
8.00,44.00,24.13600,3.2655878
8.00,44.00,26.56700,3.2655781
8.00,44.00,28.99900,3.2655738
8.00,44.00,31.43200,3.2655641
8.00,44.00,33.88100,3.2655619
8.00,44.00,36.32000,3.2655501
8.00,44.00,38.75500,3.2655468
8.00,44.00,41.19900,3.2655382
8.00,44.00,43.63500,3.2655274
8.00,44.00,46.06300,3.265522
8.00,44.00,48.50300,3.2655188
8.00,44.00,50.94500,3.2655091
8.00,44.00,53.38500,3.265507
8.00,44.00,55.82500,3.2654886
8.00,44.00,58.26200,3.2654919
8.00,45.00,0.69900,3.2654811
8.00,45.00,3.13600,3.2654736
8.00,45.00,5.56500,3.2654693
8.00,45.00,8.00800,3.265466
8.00,45.00,10.44200,3.2654509
8.00,45.00,12.88700,3.2654445
8.00,45.00,15.32600,3.2654348
8.00,45.00,17.78000,3.2654262
8.00,45.00,20.21000,3.2654283
8.00,45.00,22.64000,3.2654175
8.00,45.00,25.07900,3.2654122
8.00,45.00,27.51800,3.2654089
8.00,45.00,29.94800,3.2653982
8.00,45.00,32.38800,3.2653938
8.00,45.00,34.82700,3.2653788
8.00,45.00,37.26700,3.2653755
8.00,45.00,39.69600,3.2653723
8.00,45.00,42.12800,3.2653669
8.00,45.00,44.56700,3.265354
8.00,45.00,47.00100,3.2653551
8.00,45.00,49.43000,3.2653497
8.00,45.00,51.87900,3.2653475
