Sample,Cell voltage
1,3.533864
2,3.533513
3,3.526228
4,3.465655
5,3.435434
6,3.413310
7,3.396003
8,3.382074
9,3.370327
10,3.360330
11,3.357456
12,3.351604
13,3.346065
14,3.340922
15,3.336199
16,3.331887
17,3.327927
18,3.324300
19,3.320958
20,3.317874
21,3.315029
22,3.312433
23,3.310045
24,3.307843
253.305798
26,3.303919
27,3.302185
28,3.300605
29,3.299124
30,3.297777
31,3.296527
32,3.295370
33,3.294320
34,3.293342
35,3.292435
36,3.291611
37,3.290854
38,3.291361
39,3.289521
40,3.288930
41,3.288397
42,3.287907
43,3.287466
44,3.287056
45,3.286684
46,3.286342
47,3.286028
48,3.285746
49,3.285483
50,3.285233
51,3.285021
52,3.284815
53,3.284633
54,3.284464
55,3.284309
56,3.284159
57,3.284027
58,3.283904
59,3.283795
60,3.283690
61,3.283588
62,3.283496
63,3.283410
64,3.283346
65,3.283271
66,3.283203
67,3.283133
68,3.283077
69,3.283022
70,3.282972
71,3.282924
72,3.282875
73,3.282832
74,3.282791
75,3.282762
76,3.282714
77,3.282692
78,3.282656
79,3.282624
80,3.282597
81,3.281877
82,3.281313
83,3.280786
84,3.280332
85,3.279914
86,3.279532
87,3.279185
88,3.278874
89,3.278594
90,3.278331
91,3.278097
92,3.277880
93,3.277679
94,3.277497
95,3.277331
96,3.277177
97,3.277039
98,3.276909
99,3.276795
100,3.276681
101,3.276583
102,3.276493
103,3.276414
104,3.276336
105,3.276263
106,3.276193
107,3.276131
108,3.276077
109,3.276021
110,3.275980
111,3.275930
112,3.275891
113,3.275848
114,3.275822
115,3.275782
116,3.275745
117,3.275723
118,3.275692
119,3.275671
120,3.275651
121,3.275624
122,3.275598
123,3.275579
124,3.275566
125,3.275541
126,3.275523
127,3.275509
128,3.275494
129,3.275480
130,3.275461
131,3.275447
132,3.275433
133,3.275424
134,3.275415
135,3.275408
136,3.275389
137,3.275386
138,3.275372
139,3.275366
140,3.275355
141,3.275344
142,3.275335
143,3.275328
144,3.275320
145,3.275315
146,3.275304
147,3.275297
148,3.275289
149,3.275281
150,3.275274
151,3.275267
152,3.275258
153,3.275252
154,3.275250
155,3.275240
156,3.275231
157,3.275226
158,3.275221
159,3.275211
160,3.275206
161,3.275198
162,3.275193
163,3.275185
164,3.275180
165,3.275179
166,3.275168
167,3.275166
168,3.275156
169,3.275149
170,3.275143
171,3.275141
172,3.275135
173,3.275132
174,3.275125
175,3.275119
176,3.275116
177,3.275113
178,3.275098
179,3.275094
180,3.275086
181,3.275083
182,3.275072
183,3.275067
184,3.275062
185,3.275058
186,3.275053
187,3.275044
188,3.275043
189,3.275032
190,3.275032
191,3.275024
192,3.275137
193,3.275132
194,3.275002
195,3.274998
196,3.274990
197,3.274985
198,3.274980
199,3.274978
200,3.274975
201,3.274962
202,3.274961
203,3.274955
204,3.274953
205,3.274940
206,3.274932
207,3.274928
208,3.274923
209,3.274911
210,3.274910
211,3.274906
212,3.274896
213,3.274892
214,3.274890
215,3.274879
216,3.274872
217,3.274867
218,3.274861
219,3.274857
220,3.274845
221,3.274848
222,3.274836
223,3.274837
224,3.274831
225,3.274827
226,3.274816
227,3.274808
228,3.274812
229,3.274800
230,3.274794
231,3.274785
232,3.274779
233,3.274775
234,3.274766
235,3.274765
236,3.274758
237,3.274755
238,3.274749
239,3.274744
240,3.274734
241,3.274731
242,3.274725
243,3.274721
244,3.274710
245,3.274707
246,3.274701
247,3.274695
248,3.274689
249,3.274687
250,3.274676
251,3.274675
252,3.274664
253,3.274660
254,3.274658
255,3.274651
256,3.274645
257,3.274641
258,3.274632
259,3.274628
260,3.274622
261,3.274612
262,3.274604
263,3.274603
264,3.274593
265,3.274589
266,3.274592
267,3.274579
268,3.274575
269,3.274570
270,3.274564
271,3.274554
272,3.274550
273,3.274552
274,3.274543
275,3.274535
276,3.274529
277,3.274527
278,3.274520
279,3.274510
280,3.274509
281,3.274499
282,3.274492
283,3.274486
284,3.274483
285,3.274471
286,3.274471
287,3.274467
288,3.274455
289,3.274449
290,3.274445
291,3.274438
292,3.274435
293,3.274427
294,3.274417
295,3.274414
296,3.274409
297,3.274398
298,3.274395
299,3.274386
300,3.274387
301,3.274380
302,3.274375
303,3.274370
304,3.274363
305,3.274353
306,3.274346
307,3.274344
308,3.274339
309,3.274331
310,3.274327
311,3.274320
312,3.274320
313,3.274310
314,3.274309
315,3.274296
316,3.274292
317,3.274286
318,3.274279
319,3.274274
320,3.274271
321,3.274268
322,3.274260
323,3.274259
324,3.274250
325,3.274247
326,3.274237
327,3.274234
328,3.274233
329,3.274223
330,3.274221
331,3.274210
332,3.274209
333,3.274204
334,3.274195
335,3.274188
336,3.274186
337,3.274186
338,3.274171
339,3.274160
340,3.274156
341,3.274151
342,3.274146
343,3.274135
344,3.274130
345,3.274129
346,3.274125
347,3.274117
348,3.274115
349,3.274105
350,3.274100
351,3.274092
352,3.274090
353,3.274087
354,3.274079
355,3.274073
356,3.274069
357,3.274062
358,3.274060
359,3.274050
360,3.274046
361,3.274043
362,3.274028
363,3.274026
364,3.274025
365,3.274137
366,3.274134
367,3.274005
368,3.273996
369,3.273991
370,3.273985
371,3.273980
372,3.273969
373,3.273965
374,3.273963
375,3.273955
376,3.273947
377,3.273944
378,3.273938
379,3.273933
380,3.273928
381,3.273921
382,3.273912
383,3.273906
384,3.273903
385,3.273898
386,3.273886
387,3.273883
388,3.273878
389,3.273875
390,3.273867
391,3.273861
392,3.273857
393,3.273845
394,3.273845
395,3.273839
396,3.273831
397,3.273824
398,3.273822
399,3.273815
400,3.273806
401,3.273804
402,3.273813
403,3.273789
