time	Cell voltage
11:43:59	3,533864
11:44:13	3,533513
11:44:02	3,526228
11:44:04	3,465655
11:44:05	3,435434
11:44:07	3,413310
11:44:08	3,396003
11:44:09	3,382074
11:44:11	3,370327
11:44:12	3,360330
11:44:14	3,357456
11:44:15	3,351604
11:44:17	3,346065
11:44:18	3,340922
11:44:19	3,336199
11:44:21	3,331887
11:44:22	3,327927
11:44:24	3,324300
11:44:25	3,320958
11:44:27	3,317874
11:44:28	3,315029
11:44:30	3,312433
11:44:31	3,310045
11:44:32	3,307843
11:44:34	3,305798
11:44:35	3,303919
11:44:37	3,302185
11:44:38	3,300605
11:44:40	3,299124
11:44:41	3,297777
11:44:42	3,296527
11:44:44	3,295370
11:44:45	3,294320
11:44:47	3,293342
11:44:48	3,292435
11:44:50	3,291611
11:44:51	3,290854
11:44:53	3,291361
11:44:54	3,289521
11:44:55	3,288930
11:44:57	3,288397
11:44:58	3,287907
11:45:00	3,287466
11:45:13	3,287056
11:45:03	3,286684
11:45:04	3,286342
11:45:05	3,286028
11:45:07	3,285746
11:45:08	3,285483
11:45:10	3,285233
11:45:11	3,285021
11:45:13	3,284815
11:45:14	3,284633
11:45:16	3,284464
11:45:17	3,284309
11:45:18	3,284159
11:45:20	3,284027
11:45:21	3,283904
11:45:23	3,283795
11:45:24	3,283690
11:45:26	3,283588
11:45:27	3,283496
11:45:29	3,283410
11:45:30	3,283346
11:45:31	3,283271
11:45:33	3,283203
11:45:34	3,283133
11:45:36	3,283077
11:45:37	3,283022
11:45:39	3,282972
11:45:40	3,282924
11:45:41	3,282875
11:45:43	3,282832
11:45:44	3,282791
11:45:46	3,282762
11:45:47	3,282714
11:45:49	3,282692
11:45:50	3,282656
11:45:52	3,282624
11:45:53	3,282597
11:46:42	3,281877
11:46:43	3,281313
11:46:45	3,280786
11:46:46	3,280332
11:46:48	3,279914
11:46:49	3,279532
11:46:51	3,279185
11:46:52	3,278874
11:46:53	3,278594
11:46:55	3,278331
11:46:56	3,278097
11:46:58	3,277880
11:46:59	3,277679
11:47:13	3,277497
11:47:02	3,277331
11:47:04	3,277177
11:47:05	3,277039
11:47:06	3,276909
11:47:08	3,276795
11:47:09	3,276681
11:47:11	3,276583
11:47:12	3,276493
11:47:14	3,276414
11:47:15	3,276336
11:47:16	3,276263
11:47:18	3,276193
11:47:19	3,276131
11:47:21	3,276077
11:47:22	3,276021
11:47:24	3,275980
11:47:25	3,275930
11:47:27	3,275891
11:47:28	3,275848
11:47:29	3,275822
11:47:31	3,275782
11:47:32	3,275745
11:47:34	3,275723
11:47:35	3,275692
11:47:37	3,275671
11:47:38	3,275651
11:47:40	3,275624
11:47:41	3,275598
11:47:42	3,275579
11:47:44	3,275566
11:47:45	3,275541
11:47:47	3,275523
11:47:48	3,275509
11:47:50	3,275494
11:47:51	3,275480
11:47:52	3,275461
11:47:54	3,275447
11:47:55	3,275433
11:47:57	3,275424
11:47:58	3,275415
11:48:00	3,275408
11:48:13	3,275389
11:48:03	3,275386
11:48:04	3,275372
11:48:05	3,275366
11:48:07	3,275355
11:48:08	3,275344
11:48:10	3,275335
11:48:11	3,275328
11:48:13	3,275320
11:48:14	3,275315
11:48:15	3,275304
11:48:17	3,275297
11:48:18	3,275289
11:48:20	3,275281
11:48:21	3,275274
11:48:23	3,275267
11:48:24	3,275258
11:48:26	3,275252
11:48:27	3,275250
11:48:28	3,275240
11:48:30	3,275231
11:48:31	3,275226
11:48:33	3,275221
11:48:34	3,275211
11:48:36	3,275206
11:48:37	3,275198
11:48:38	3,275193
11:48:40	3,275185
11:48:41	3,275180
11:48:43	3,275179
11:48:44	3,275168
11:48:46	3,275166
11:48:47	3,275156
11:48:49	3,275149
11:48:50	3,275143
11:48:51	3,275141
11:48:53	3,275135
11:48:54	3,275132
11:48:56	3,275125
11:48:57	3,275119
11:48:59	3,275116
11:49:00	3,275113
11:49:13	3,275098
11:49:03	3,275094
11:49:04	3,275086
11:49:06	3,275083
11:49:07	3,275072
11:49:09	3,275067
11:49:10	3,275062
11:49:12	3,275058
11:49:13	3,275053
11:49:14	3,275044
11:49:16	3,275043
11:49:17	3,275032
11:49:19	3,275032
11:49:20	3,275024
11:49:22	3,275137
11:49:23	3,275132
11:49:24	3,275002
11:49:26	3,274998
11:49:27	3,274990
11:49:29	3,274985
11:49:30	3,274980
11:49:32	3,274978
11:49:33	3,274975
11:49:35	3,274962
11:49:36	3,274961
11:49:37	3,274955
11:49:39	3,274953
11:49:40	3,274940
11:49:42	3,274932
11:49:43	3,274928
11:49:45	3,274923
11:49:46	3,274911
11:49:48	3,274910
11:49:49	3,274906
11:49:50	3,274896
11:49:52	3,274892
11:49:53	3,274890
11:49:55	3,274879
11:49:56	3,274872
11:49:58	3,274867
11:49:59	3,274861
11:50:00	3,274857
11:50:02	3,274845
11:50:03	3,274848
11:50:05	3,274836
11:50:06	3,274837
11:50:08	3,274831
11:50:09	3,274827
11:50:11	3,274816
11:50:12	3,274808
11:50:13	3,274812
11:50:15	3,274800
11:50:16	3,274794
11:50:18	3,274785
11:50:19	3,274779
11:50:21	3,274775
11:50:22	3,274766
11:50:23	3,274765
11:50:25	3,274758
11:50:26	3,274755
11:50:28	3,274749
11:50:29	3,274744
11:50:31	3,274734
11:50:32	3,274731
11:50:34	3,274725
11:50:35	3,274721
11:50:36	3,274710
11:50:38	3,274707
11:50:39	3,274701
11:50:41	3,274695
11:50:42	3,274689
11:50:44	3,274687
11:50:45	3,274676
11:50:46	3,274675
11:50:48	3,274664
11:50:49	3,274660
11:50:51	3,274658
11:50:52	3,274651
11:50:54	3,274645
11:50:55	3,274641
11:50:57	3,274632
11:50:58	3,274628
11:50:59	3,274622
11:51:13	3,274612
11:51:02	3,274604
11:51:04	3,274603
11:51:05	3,274593
11:51:07	3,274589
11:51:08	3,274592
11:51:10	3,274579
11:51:11	3,274575
11:51:12	3,274570
11:51:14	3,274564
11:51:15	3,274554
11:51:17	3,274550
11:51:18	3,274552
11:51:20	3,274543
11:51:21	3,274535
11:51:22	3,274529
11:51:24	3,274527
11:51:25	3,274520
11:51:27	3,274510
11:51:28	3,274509
11:51:30	3,274499
11:51:31	3,274492
11:51:33	3,274486
11:51:34	3,274483
11:51:35	3,274471
11:51:37	3,274471
11:51:38	3,274467
11:51:40	3,274455
11:51:41	3,274449
11:51:43	3,274445
11:51:44	3,274438
11:51:45	3,274435
11:51:47	3,274427
11:51:48	3,274417
11:51:50	3,274414
11:51:51	3,274409
11:51:53	3,274398
11:51:54	3,274395
11:51:56	3,274386
11:51:57	3,274387
11:51:58	3,274380
